"team","season","adj_sack_rate","combos"
"MIN",2020,7.7,6
"TEN",2020,5.5,6
"NE",2020,8,6
"NO",2020,6.1,9
"GB",2020,5,8
"CLE",2020,6.5,4
"LA",2020,4.2,13
"BAL",2020,7.5,6
"TB",2020,4.3,8
"SEA",2020,8.2,5
"JAX",2020,7.6,3
"DAL",2020,6.1,6
"CAR",2020,6.6,3
"KC",2020,4.5,5
"BUF",2020,4.8,7
"WAS",2020,7.3,10
"NYJ",2020,8.1,9
"LV",2020,5.5,7
"DET",2020,7.2,7
"IND",2020,5.2,6
"NYG",2020,7.9,6
"SF",2020,5.5,6
"PHI",2020,9.4,5
"MIA",2020,6.9,7
"CHI",2020,6.2,10
"ATL",2020,6.7,4
"HOU",2020,9.5,5
"DEN",2020,6.8,9
"LAC",2020,6.1,6
"ARI",2020,5.4,12
"CIN",2020,7.6,4
"PIT",2020,2.7,2
"CLE",2021,8.7,4
"DAL",2021,5.6,6
"GB",2021,5.1,8
"PHI",2021,6.6,5
"TB",2021,3.5,8
"LA",2021,5.2,13
"IND",2021,6.2,6
"KC",2021,4.8,5
"NE",2021,5.4,6
"LAC",2021,5,6
"SF",2021,6.6,6
"BUF",2021,4.5,7
"JAX",2021,5.6,3
"SEA",2021,8,5
"CIN",2021,9.1,4
"TEN",2021,8.4,6
"LV",2021,6.7,7
"DEN",2021,7.5,9
"WAS",2021,8,10
"ATL",2021,7,4
"DET",2021,5.8,7
"NYJ",2021,8.6,9
"CHI",2021,9.5,10
"MIN",2021,4.7,6
"CAR",2021,8.5,3
"ARI",2021,6.5,12
"NO",2021,7.7,9
"PIT",2021,5.6,2
"BAL",2021,8.6,6
"MIA",2021,6.9,7
"NYG",2021,6.4,6
"HOU",2021,7.6,5
"LV",2022,5.9,7
"GB",2022,5.9,8
"KC",2022,4.8,5
"SF",2022,6.3,6
"ATL",2022,8.7,4
"PHI",2022,7.7,5
"DET",2022,4.2,7
"MIA",2022,6.3,7
"CAR",2022,7.7,3
"PIT",2022,6.3,2
"CHI",2022,13,10
"NO",2022,7.7,9
"BUF",2022,5.9,7
"CLE",2022,7.7,4
"LA",2022,10.6,13
"CIN",2022,7,4
"DAL",2022,4.7,6
"TEN",2022,9.5,6
"NE",2022,8.4,6
"DEN",2022,10,9
"BAL",2022,8.1,6
"IND",2022,9.2,6
"WAS",2022,8.2,10
"NYG",2022,8.4,6
"MIN",2022,6.6,6
"LAC",2022,6,6
"ARI",2022,7,12
"TB",2022,3.4,8
"JAX",2022,4.7,3
"SEA",2022,8.6,5
"HOU",2022,6.4,5
"NYJ",2022,7,9
