"season","team","pressure_percent"
2022,"Chiefs","34.2"
2022,"Eagles","30.7"
2022,"Seahawks","34.8"
2022,"Bengals","29.4"
2022,"49ers","32.4"
2022,"Dolphins","35.0"
2022,"Lions","29.4"
2022,"Bills","31.8"
2022,"Jaguars","30.9"
2022,"Saints","28.2"
2022,"Packers","25.4"
2022,"Vikings","36.3"
2022,"Chargers","36.8"
2022,"Titans","36.7"
2022,"Giants","42.7"
2022,"Raiders","33.3"
2022,"Cowboys","32.1"
2022,"Buccaneers","19.6"
2022,"Patriots","29.0"
2022,"Bears","42.3"
2022,"Ravens","32.5"
2022,"Commanders","38.4"
2022,"Falcons","35.4"
2022,"Browns","32.4"
2022,"Colts","36.7"
2022,"Broncos","33.8"
2022,"Cardinals","26.5"
2022,"Rams","34.7"
2022,"Panthers","30.8"
2022,"Steelers","32.3"
2022,"Jets","33.9"
2022,"Texans","38.4"
