"season","team_abbr","pressure_percent"
2022,"KC",34.2
2022,"PHI",30.7
2022,"SEA",34.8
2022,"CIN",29.4
2022,"SF",32.4
2022,"MIA",35
2022,"DET",29.4
2022,"BUF",31.8
2022,"JAX",30.9
2022,"NO",28.2
2022,"GB",25.4
2022,"MIN",36.3
2022,"LAC",36.8
2022,"TEN",36.7
2022,"NYG",42.7
2022,"LV",33.3
2022,"DAL",32.1
2022,"TB",19.6
2022,"NE",29
2022,"CHI",42.3
2022,"BAL",32.5
2022,"WAS",38.4
2022,"ATL",35.4
2022,"CLE",32.4
2022,"IND",36.7
2022,"DEN",33.8
2022,"ARI",26.5
2022,"LA",34.7
2022,"CAR",30.8
2022,"PIT",32.3
2022,"NYJ",33.9
2022,"HOU",38.4
