"posteam","season","total","total_go","go_pct","team_color","team_color2"
"PHI",2012,128,25,0.1953125,"#004C54","#A5ACAF"
"PHI",2013,131,17,0.129770992366412,"#004C54","#A5ACAF"
"PHI",2014,124,11,0.0887096774193548,"#004C54","#A5ACAF"
"PHI",2015,132,16,0.121212121212121,"#004C54","#A5ACAF"
"PHI",2016,134,28,0.208955223880597,"#004C54","#A5ACAF"
"PHI",2017,127,26,0.204724409448819,"#004C54","#A5ACAF"
"PHI",2018,119,24,0.201680672268908,"#004C54","#A5ACAF"
"PHI",2019,123,25,0.203252032520325,"#004C54","#A5ACAF"
"PHI",2020,133,36,0.270676691729323,"#004C54","#A5ACAF"
"PHI",2021,118,27,0.228813559322034,"#004C54","#A5ACAF"
"PHI",2022,117,32,0.273504273504274,"#004C54","#A5ACAF"
"NFL",2012,3879,441,0.11368909512761,"#013369","#D50A0A"
"NFL",2013,4006,478,0.119321018472292,"#013369","#D50A0A"
"NFL",2014,3829,457,0.119352311308436,"#013369","#D50A0A"
"NFL",2015,3878,486,0.125322331098504,"#013369","#D50A0A"
"NFL",2016,3790,469,0.123746701846966,"#013369","#D50A0A"
"NFL",2017,3942,472,0.119736174530695,"#013369","#D50A0A"
"NFL",2018,3676,537,0.146082698585419,"#013369","#D50A0A"
"NFL",2019,3764,600,0.159404888416578,"#013369","#D50A0A"
"NFL",2020,3507,658,0.187624750499002,"#013369","#D50A0A"
"NFL",2021,3942,801,0.203196347031963,"#013369","#D50A0A"
"NFL",2022,4006,724,0.18072890664004,"#013369","#D50A0A"
