"defteam","week","yards_allowed"
"ARI",1,488
"ARI",2,324
"ARI",3,339
"ARI",4,220
"ARI",5,357
"ARI",6,296
"ARI",7,494
"ARI",8,381
"ARI",9,421
"ARI",10,256
"ARI",11,387
"ARI",12,311
"ARI",14,328
"ARI",15,324
"ARI",16,396
"ARI",17,298
"ARI",18,311
"ATL",1,385
"ATL",2,337
"ATL",3,420
"ATL",4,403
"ATL",5,420
"ATL",6,346
"ATL",7,537
"ATL",8,478
"ATL",9,336
"ATL",10,333
"ATL",11,288
"ATL",12,314
"ATL",13,351
"ATL",15,348
"ATL",16,299
"ATL",17,339
"ATL",18,222
"BAL",1,380
"BAL",2,547
"BAL",3,447
"BAL",4,326
"BAL",5,291
"BAL",6,238
"BAL",7,336
"BAL",8,349
"BAL",9,243
"BAL",11,205
"BAL",12,332
"BAL",13,272
"BAL",14,329
"BAL",15,283
"BAL",16,327
"BAL",17,351
"BAL",18,257
"BUF",1,243
"BUF",2,187
"BUF",3,212
"BUF",4,296
"BUF",5,364
"BUF",6,387
"BUF",8,398
"BUF",9,310
"BUF",10,481
"BUF",11,396
"BUF",12,326
"BUF",13,242
"BUF",14,309
"BUF",15,405
"BUF",16,209
"BUF",18,341
"CAR",1,355
"CAR",2,265
"CAR",3,426
"CAR",4,338
"CAR",5,397
"CAR",6,360
"CAR",7,322
"CAR",8,406
"CAR",9,464
"CAR",10,291
"CAR",11,308
"CAR",12,246
"CAR",14,287
"CAR",15,325
"CAR",16,381
"CAR",17,478
"CAR",18,304
"CHI",1,331
"CHI",2,414
"CHI",3,329
"CHI",4,333
"CHI",5,429
"CHI",6,214
"CHI",7,260
"CHI",8,442
"CHI",9,379
"CHI",10,323
"CHI",11,280
"CHI",12,466
"CHI",13,357
"CHI",15,421
"CHI",16,426
"CHI",17,504
"CHI",18,482
"CIN",1,267
"CIN",2,337
"CIN",3,328
"CIN",4,378
"CIN",5,325
"CIN",6,399
"CIN",7,214
"CIN",8,440
"CIN",9,228
"CIN",11,351
"CIN",12,344
"CIN",13,349
"CIN",14,344
"CIN",15,396
"CIN",16,285
"CIN",18,386
"CLE",1,261
"CLE",2,402
"CLE",3,308
"CLE",4,333
"CLE",5,465
"CLE",6,399
"CLE",7,254
"CLE",8,229
"CLE",10,491
"CLE",11,357
"CLE",12,325
"CLE",13,283
"CLE",14,363
"CLE",15,324
"CLE",16,244
"CLE",17,260
"CLE",18,333
"DAL",1,347
"DAL",2,254
"DAL",3,336
"DAL",4,297
"DAL",5,323
"DAL",6,268
"DAL",7,312
"DAL",8,371
"DAL",10,415
"DAL",11,183
"DAL",12,300
"DAL",13,309
"DAL",14,327
"DAL",15,503
"DAL",16,442
"DAL",17,317
"DAL",18,309
"DEN",1,253
"DEN",2,234
"DEN",3,267
"DEN",4,385
"DEN",5,306
"DEN",6,297
"DEN",7,260
"DEN",8,305
"DEN",10,307
"DEN",11,407
"DEN",12,349
"DEN",13,285
"DEN",14,431
"DEN",15,240
"DEN",16,388
"DEN",17,374
"DEN",18,352
"DET",1,455
"DET",2,396
"DET",3,373
"DET",4,555
"DET",5,364
"DET",7,330
"DET",8,476
"DET",9,389
"DET",10,408
"DET",11,413
"DET",12,401
"DET",13,266
"DET",14,416
"DET",15,337
"DET",16,570
"DET",17,230
"DET",18,291
"GB",1,395
"GB",2,228
"GB",3,285
"GB",4,271
"GB",5,338
"GB",6,278
"GB",7,364
"GB",8,369
"GB",9,254
"GB",10,421
"GB",11,408
"GB",12,500
"GB",13,409
"GB",15,156
"GB",16,376
"GB",17,346
"GB",18,323
"HOU",1,517
"HOU",2,350
"HOU",3,363
"HOU",4,419
"HOU",5,422
"HOU",7,400
"HOU",8,354
"HOU",9,360
"HOU",10,367
"HOU",11,344
"HOU",12,339
"HOU",13,304
"HOU",14,404
"HOU",15,502
"HOU",16,272
"HOU",17,337
"HOU",18,398
"IND",1,299
"IND",2,331
"IND",3,315
"IND",4,243
"IND",5,375
"IND",6,379
"IND",7,254
"IND",8,362
"IND",9,203
"IND",10,309
"IND",11,314
"IND",12,323
"IND",13,385
"IND",15,518
"IND",16,314
"IND",17,394
"IND",18,360
"JAX",1,390
"JAX",2,218
"JAX",3,312
"JAX",4,401
"JAX",5,248
"JAX",6,434
"JAX",7,436
"JAX",8,331
"JAX",9,321
"JAX",10,486
"JAX",12,415
"JAX",13,437
"JAX",14,364
"JAX",15,397
"JAX",16,227
"JAX",17,277
"JAX",18,312
"KC",1,282
"KC",2,401
"KC",3,259
"KC",4,376
"KC",5,378
"KC",6,443
"KC",7,444
"KC",9,229
"KC",10,315
"KC",11,365
"KC",12,198
"KC",13,431
"KC",14,320
"KC",15,219
"KC",16,333
"KC",17,307
"KC",18,279
"LA",1,413
"LA",2,261
"LA",3,365
"LA",4,327
"LA",5,239
"LA",6,203
"LA",8,368
"LA",9,323
"LA",10,298
"LA",11,323
"LA",12,437
"LA",13,438
"LA",14,302
"LA",15,345
"LA",16,323
"LA",17,431
"LA",18,402
"LAC",1,320
"LAC",2,319
"LAC",3,413
"LAC",4,346
"LAC",5,443
"LAC",6,258
"LAC",7,404
"LAC",9,315
"LAC",10,387
"LAC",11,485
"LAC",12,366
"LAC",13,404
"LAC",14,219
"LAC",15,284
"LAC",16,173
"LAC",17,277
"LAC",18,471
"LV",1,355
"LV",2,413
"LV",3,361
"LV",4,299
"LV",5,368
"LV",7,404
"LV",8,367
"LV",9,403
"LV",10,415
"LV",11,320
"LV",12,372
"LV",13,386
"LV",14,282
"LV",15,318
"LV",16,350
"LV",17,454
"LV",18,349
"MIA",1,271
"MIA",2,473
"MIA",3,497
"MIA",4,371
"MIA",5,322
"MIA",6,234
"MIA",7,341
"MIA",8,393
"MIA",9,368
"MIA",10,297
"MIA",12,210
"MIA",13,351
"MIA",14,432
"MIA",15,446
"MIA",16,301
"MIA",17,249
"MIA",18,187
"MIN",1,338
"MIN",2,486
"MIN",3,416
"MIN",4,338
"MIN",5,271
"MIN",6,458
"MIN",8,375
"MIN",9,263
"MIN",10,486
"MIN",11,458
"MIN",12,409
"MIN",13,486
"MIN",14,464
"MIN",15,341
"MIN",16,445
"MIN",17,315
"MIN",18,259
"NE",1,307
"NE",2,243
"NE",3,394
"NE",4,443
"NE",5,312
"NE",6,328
"NE",7,390
"NE",8,387
"NE",9,121
"NE",11,103
"NE",12,358
"NE",13,355
"NE",14,323
"NE",15,308
"NE",16,442
"NE",17,333
"NE",18,327
"NO",1,416
"NO",2,260
"NO",3,293
"NO",4,344
"NO",5,396
"NO",6,348
"NO",7,326
"NO",8,183
"NO",9,319
"NO",10,379
"NO",11,336
"NO",12,317
"NO",13,350
"NO",15,320
"NO",16,249
"NO",17,313
"NO",18,203
"NYG",1,359
"NYG",2,275
"NYG",3,391
"NYG",4,304
"NYG",5,301
"NYG",6,406
"NYG",7,452
"NYG",8,277
"NYG",10,387
"NYG",11,325
"NYG",12,430
"NYG",13,411
"NYG",14,437
"NYG",15,387
"NYG",16,353
"NYG",17,252
"NYG",18,342
"NYJ",1,274
"NYJ",2,405
"NYJ",3,330
"NYJ",4,297
"NYJ",5,295
"NYJ",6,278
"NYJ",7,324
"NYJ",8,288
"NYJ",9,317
"NYJ",11,297
"NYJ",12,292
"NYJ",13,287
"NYJ",14,232
"NYJ",15,359
"NYJ",16,365
"NYJ",17,346
"NYJ",18,302
"PHI",1,386
"PHI",2,264
"PHI",3,240
"PHI",4,219
"PHI",5,363
"PHI",6,315
"PHI",8,302
"PHI",9,303
"PHI",10,330
"PHI",11,284
"PHI",12,342
"PHI",13,209
"PHI",14,304
"PHI",15,248
"PHI",16,419
"PHI",17,313
"PHI",18,284
"PIT",1,432
"PIT",2,376
"PIT",3,376
"PIT",4,348
"PIT",5,552
"PIT",6,304
"PIT",7,372
"PIT",8,401
"PIT",10,186
"PIT",11,408
"PIT",12,290
"PIT",13,306
"PIT",14,309
"PIT",15,209
"PIT",16,201
"PIT",17,240
"PIT",18,307
"SEA",1,433
"SEA",2,373
"SEA",3,386
"SEA",4,520
"SEA",5,438
"SEA",6,315
"SEA",7,329
"SEA",8,225
"SEA",9,262
"SEA",10,419
"SEA",12,576
"SEA",13,319
"SEA",14,328
"SEA",15,381
"SEA",16,297
"SEA",17,279
"SEA",18,269
"SF",1,204
"SF",2,216
"SF",3,261
"SF",4,257
"SF",5,308
"SF",6,289
"SF",7,529
"SF",8,223
"SF",10,238
"SF",11,314
"SF",12,260
"SF",13,308
"SF",14,322
"SF",15,277
"SF",16,349
"SF",17,500
"SF",18,255
"TB",1,244
"TB",2,308
"TB",3,315
"TB",4,417
"TB",5,261
"TB",6,270
"TB",7,343
"TB",8,453
"TB",9,206
"TB",10,283
"TB",12,367
"TB",13,298
"TB",14,404
"TB",15,237
"TB",16,325
"TB",17,400
"TB",18,382
"TEN",1,394
"TEN",2,414
"TEN",3,396
"TEN",4,365
"TEN",5,385
"TEN",7,292
"TEN",8,161
"TEN",9,499
"TEN",10,313
"TEN",11,271
"TEN",12,374
"TEN",13,453
"TEN",14,428
"TEN",15,365
"TEN",16,285
"TEN",17,361
"TEN",18,222
"WAS",1,383
"WAS",2,425
"WAS",3,400
"WAS",4,279
"WAS",5,241
"WAS",6,391
"WAS",7,232
"WAS",8,324
"WAS",9,301
"WAS",10,264
"WAS",11,148
"WAS",12,332
"WAS",13,316
"WAS",15,288
"WAS",16,371
"WAS",17,301
"WAS",18,182
