"passer","passer_id","total","qb_agg","qb_agg_pct","team_color","team_color2","headshot_url"
"T.Tagovailoa","00-0036212",88,58,0.659090909090909,"#008E97","#F58220","https://static.www.nfl.com/image/private/f_auto,q_auto/league/dyrrl1knhcxqjwuvhcwm"
"D.Carr","00-0031280",121,73,0.603305785123967,"#000000","#A5ACAF","https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1eqjrajbnisr91dmlcl"
"P.Mahomes","00-0033873",154,90,0.584415584415584,"#E31837","#FFB612","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vs40h82nvqaqvyephwwu"
"K.Pickett","00-0038102",114,66,0.578947368421053,"#000000","#FFB612","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vbabaquryx2jw1uahay2"
"T.Lawrence","00-0036971",140,79,0.564285714285714,"#006778","#000000","https://static.www.nfl.com/image/private/f_auto,q_auto/league/nel2x2crpaasltsb6vwj"
"K.Cousins","00-0029604",159,89,0.559748427672956,"#4F2683","#FFC62F","https://static.www.nfl.com/image/private/f_auto,q_auto/league/h9ndf9ralxifgjvot2q4"
"A.Dalton","00-0027973",118,66,0.559322033898305,"#D3BC8D","#000000","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yhkh8vtc5ocjo3iyn9ug"
"M.Stafford","00-0026498",74,41,0.554054054054054,"#003594","#FFD100","https://static.www.nfl.com/image/private/f_auto,q_auto/league/eteieq8zzws1fbcgzbip"
"J.Garoppolo","00-0031345",84,46,0.547619047619048,"#AA0000","#B3995D","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fuepwtifp7wd9grpzvwb"
"M.Jones","00-0036972",107,58,0.542056074766355,"#002244","#C60C30","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hhexcwf5oe7onhlemzq9"
