"player","player_id","elusive_rating","broken_missed","fd_rush","stuff_percent","designed_gap","boom_percent","bust_percent"
"Derrick Henry",10679,70.7,16,18.6,17.5,63,6.6,4.3
"Josh Jacobs",45953,82.5,23.2,27.4,15,61.5,6.8,4.7
"Saquon Barkley",45791,36.5,12.2,21,17.3,73.6,5.8,4.1
"Nick Chubb",45783,97.2,18.2,22.8,19.2,71.2,10.3,5
"Miles Sanders",40555,52.7,16.2,23.9,16.2,68.7,8.1,4.2
"Christian McCaffrey",11763,56,13.5,24.2,18.9,68.4,9.4,5.7
"Dalvin Cook",11796,61.3,14.8,18.9,23.5,68.2,4.5,8.3
"Najee Harris",57121,59.6,17.3,16.5,16.2,64,2.9,4.4
"Jamaal Williams",11889,32.5,8,24.8,16,68.3,5,5.7
"Ezekiel Elliott",10638,33.6,11.7,22.5,13.4,63.6,6.1,4.3
"Travis Etienne",57185,70.7,21.8,23.6,21.8,67.3,10,4.5
"Joe Mixon",11803,31.3,10,22.4,17.1,61,3.8,2.9
"Kenneth Walker III",97199,67,21.9,22.4,23.7,57,10.5,7.9
"Alvin Kamara",11822,47.6,13,17.9,17.5,69.1,3.1,5.8
"Dameon Pierce",83659,98.5,19.1,24.5,20,67.7,5.5,8.2
"Austin Ekeler",12164,64.4,14.7,22.5,19.1,62.3,7.4,4.4
"Tony Pollard",27126,78.7,20.2,23.8,19.2,72,10.4,5.7
"Aaron Jones",11937,71.4,22.1,25.4,16,70.4,10.3,6.1
"Tyler Allgeier",83639,88.7,20.5,25.2,13.8,69.5,9.5,4.3
"Rhamondre Stevenson",98689,83.4,16.7,23.3,18.1,66.2,10,6.7
"Isiah Pacheco",83747,44.7,9.4,21.8,11.8,68.2,7.6,4.7
"Brian Robinson Jr.",57120,44,12.2,23.9,14.1,61,4.9,4.4
"D'Onta Foreman",11844,56.4,9.4,22.2,15.8,54.2,7.4,3.9
"David Montgomery",45719,69,18.4,20.4,13.4,64.2,7,6.5
"Leonard Fournette",11759,30.8,5.8,20.6,18.5,69.3,3.2,7.9
"Devin Singletary",40485,54.5,15.8,23.7,17.5,62.7,7.3,5.6
"Jonathan Taylor",57488,67.3,13,20.3,19.3,59.4,7.3,5.2
"Cam Akers",57206,56.7,16,20.7,18.6,50,6.4,7.4
"Jeff Wilson Jr.",29413,40.7,12.5,25,15.3,68.2,10.8,2.3
"A.J. Dillon",57165,36.7,8.1,25.3,11.8,61.8,6.5,4.3
"James Conner",11860,57.8,16.4,26.2,12.6,60.1,6.6,2.7
"Raheem Mostert",9783,84.7,14.9,24.3,18.8,71.8,7.7,4.4
"Latavius Murray",7962,35.9,10.5,25.7,14.6,63.7,5.8,8.2
