"team","games","dropbacks","att","comp","catchable","on_tgt","gross_yds","net_yds","air_yards","intended_air_yards","t_ds","ints","sacks","pressures","pa_dropbacks","pa_att","pa_comp","pa_catchable","pa_ontgt","pa_gross_yds","pa_net_yds","pa_air_yards","pa_intended_air_yards","pa_t_ds","pa_ints","pa_sacks","pa_pressures"
"Buccaneers",17,642,620,414,503,454,3748,3588,1818,3988,21,8,22,125,131,131,85,100,89,998,998,468,939,5,2,0,26
"Bengals",16,544,505,356,419,381,3771,3520,1903,3093,27,10,39,144,110,105,62,77,70,749,720,419,1037,8,2,5,37
"Chiefs",17,490,467,303,361,318,3645,3474,1684,3280,26,11,23,170,187,184,132,154,142,1605,1588,670,1190,15,1,3,55
"Vikings",17,501,464,300,370,327,3315,3059,1920,3450,19,11,37,166,218,208,148,170,152,1503,1425,721,1320,11,4,10,91
"Chargers",17,529,499,330,398,342,3191,3023,1554,3268,16,9,30,191,221,212,155,176,156,1600,1561,666,1057,10,1,9,82
"Raiders",17,486,459,271,341,297,3127,2936,1785,3909,21,13,27,162,135,127,88,101,95,1055,998,536,1133,7,4,8,57
"Saints",17,462,428,276,342,307,3152,2904,1851,3534,21,13,34,126,88,84,62,69,61,817,788,475,815,3,1,4,33
"49ers",17,416,393,257,315,267,3048,2891,1417,2596,21,8,23,143,127,119,81,101,82,1001,965,347,768,9,1,8,37
"Lions",17,439,422,267,326,281,2942,2826,1317,2767,12,4,17,128,173,166,116,139,113,1502,1455,799,1149,17,3,7,46
"Steelers",17,495,464,289,360,325,3003,2787,1925,3864,11,11,31,164,114,107,75,82,76,658,624,272,649,1,3,7,39
"Bills",16,434,406,245,310,266,2913,2762,1728,3507,21,10,28,154,173,168,116,137,122,1378,1367,881,1377,14,4,5,44
"Broncos",17,488,436,270,334,291,3099,2758,1517,3389,13,10,52,169,146,135,75,97,83,908,834,476,1207,5,5,11,53
"Colts",17,536,484,331,397,347,3054,2691,1700,3030,13,16,52,199,128,120,67,85,76,800,741,335,755,4,4,8,45
"Seahawks",17,455,418,284,345,303,2956,2666,1777,3159,21,9,37,157,164,155,115,127,116,1326,1268,661,1021,9,3,9,61
"Jaguars",17,463,444,290,358,328,2798,2653,1544,3190,20,8,19,139,161,152,104,124,109,1350,1306,456,917,5,1,9,54
"Cowboys",17,426,405,255,323,284,2784,2641,1597,3150,19,16,21,134,157,151,100,123,112,1127,1095,612,1261,9,2,6,50
"Eagles",17,395,363,234,288,251,2813,2619,1528,2953,15,7,32,131,185,173,116,134,120,1551,1486,739,1230,10,2,12,57
"Dolphins",17,386,362,228,285,243,2802,2614,1684,2978,24,10,24,136,233,222,140,173,151,1963,1897,1197,2131,6,5,11,85
"Jets",17,503,474,270,342,286,2806,2590,1535,3653,12,11,29,176,166,153,87,106,91,1234,1133,586,1187,3,3,13,66
"Patriots",17,459,425,270,338,302,2695,2472,1452,3206,12,11,34,135,122,115,88,93,82,1120,1064,438,691,7,3,7,34
"Cardinals",17,555,516,331,402,365,2704,2405,1068,2915,12,11,39,142,155,148,102,121,104,1262,1221,755,1373,5,6,7,38
"Browns",17,447,410,247,315,264,2624,2400,1553,3313,13,8,37,138,137,130,88,97,89,1086,1034,537,924,6,4,7,55
"Packers",17,407,384,243,302,260,2524,2344,1256,2985,12,9,23,112,188,179,121,144,128,1371,1293,538,1154,15,3,9,41
"Commanders",17,412,376,232,281,251,2405,2159,1267,2792,13,11,36,152,190,178,112,130,115,1378,1313,767,1458,11,5,12,73
"Texans",17,438,409,246,293,248,2379,2146,1189,2830,15,16,29,169,179,170,106,126,103,1263,1198,599,1221,5,3,9,68
"Giants",17,383,349,225,275,248,2329,2127,1141,1999,10,3,34,149,186,171,121,141,126,1102,1030,532,1052,7,3,15,88
"Panthers",17,333,302,174,226,201,2201,1970,1057,2102,13,11,31,103,160,155,93,110,98,1045,1026,395,1025,3,2,5,52
"Ravens",17,350,324,193,247,203,1983,1862,1123,2485,13,9,26,97,176,164,107,124,109,1219,1178,650,1302,6,4,12,66
"Rams",17,407,365,237,280,246,2153,1850,1123,2404,15,11,42,146,183,166,110,130,117,1353,1258,550,1082,1,4,17,61
"Titans",17,360,327,199,255,224,1848,1635,1078,2347,11,8,33,144,145,129,86,103,98,1379,1279,554,1015,5,3,16,58
"Falcons",17,259,232,145,170,148,1576,1431,923,2090,7,5,27,90,193,183,112,140,114,1351,1276,711,1660,10,4,10,76
"Bears",17,286,243,142,177,143,1555,1243,786,1941,11,11,43,113,149,134,81,94,82,1040,973,623,1281,8,4,15,63
